filename,0.001bar,0.002bar,0.005bar,0.01bar,0.02bar,0.05bar,0.1bar,0.2bar,0.5bar,1bar,LCD,Density_g_cm3,SA_m2_g,AV_cm3_g,Henry
IBEYOE_clean,0.000172499,0.000251356,0.000729425,0.001384921,0.002868413,0.007259745,0.014568776,0.030103546,0.074583653,0.134785816,6.06432,2.348535949,576.674,0.228494,1.47873E-06
IBIRES_clean,0.000273966,0.00053963,0.001406359,0.002664941,0.005386336,0.013391123,0.027393273,0.052624706,0.127468879,0.240669945,6.08051,1.568518905,743.994,0.345287,2.72722E-06
IBOTEY_clean,0.000261691,0.000570112,0.001429953,0.00306552,0.006074963,0.015813595,0.031421576,0.063525417,0.153808708,0.307888452,8.07557,0.981502126,1410.4497,0.595006,3.14338E-06
IBOWIH_charged,0.000527776,0.001075657,0.002387557,0.005252626,0.009610547,0.023694622,0.048907229,0.094034577,0.218846025,0.40492471,5.06667,1.287650582,432.466,0.361895,4.91504E-06
IBUBAL_clean,0.000211459,0.000445176,0.000954346,0.001958775,0.004001021,0.009615805,0.01975191,0.039069773,0.095696181,0.188849294,8.56175,1.376616813,1161.09,0.431061,1.99272E-06
IBUDOZ_clean,0.000544492,0.001033342,0.00244425,0.004518883,0.009606103,0.023921859,0.047144225,0.091589839,0.214931086,0.400101934,5.08668,1.489189932,590.733,0.342334,4.78451E-06
ic048812_clean,0.000391197,0.000734044,0.001894448,0.003586705,0.007753611,0.018465374,0.037097777,0.070635222,0.165713658,0.301683163,5.39588,1.386932367,312.847,0.31969,3.70948E-06
ic049498msi20040906_121120_clean,0.000343806,0.000718248,0.001674777,0.003451674,0.006962918,0.016773297,0.034518441,0.067358701,0.163716228,0.308463568,7.04878,1.414345311,911.946,0.412911,3.47102E-06
ic0520162si20051122_054836_clean,5.32162E-05,0.000143684,0.000425729,0.00098982,0.001921103,0.004725594,0.009594872,0.018380859,0.044419523,0.089440388,6.8306,1.960814829,410.13573,0.251531,9.34431E-07
ic060030osi20060309_091447_clean,0.000266242,0.000418381,0.001064969,0.002506482,0.004853218,0.011714664,0.024106344,0.048342005,0.11830289,0.227447043,7.66338,1.458524287,1112.12,0.41398,2.42162E-06
ic060608urom20060410_101638_clean,0.000422233,0.000807977,0.002116379,0.004248395,0.007678388,0.020241127,0.041191189,0.08107919,0.18874343,0.356396053,4.58785,1.52811815,450.644,0.341845,4.03125E-06
ic060771psi20060614_113937_clean,0.001272567,0.002493436,0.005798134,0.011751363,0.024449197,0.058327322,0.114976446,0.240527131,0.521836064,0.878862745,5.26056,1.379398964,865.074,0.407567,1.25492E-05
ic102347b_si_001_clean,0.00044288,0.000859708,0.002167507,0.004418379,0.008638764,0.021331182,0.042104857,0.083917934,0.211352729,0.411982554,7.286,0.867521745,2464.68,0.745803,4.27832E-06
ic202626c_si_002_clean,0.000146938,0.000334409,0.000815756,0.001722715,0.003409963,0.008578109,0.017110616,0.034484707,0.082730868,0.168810897,4.17676,1.228826353,518.037,0.418774,1.72919E-06
ic202769e_si_002_clean,0.0004,0.000856775,0.001981937,0.003858067,0.007726456,0.019790979,0.038621957,0.073352299,0.179633649,0.329595023,5.53082,1.471919995,480.467,0.306946,3.92396E-06
